#{"t_start": 1763362893.3222272, "env_id": "None"}
r,l,t
-5.0,1,0.89964
-5.0,1,0.90573
-5.0,1,0.912529
-5.0,1,0.917541
-5.0,2,0.928236
-5.0,1,0.933412
-5.0,1,0.939442
-5.0,1,0.94507
-5.0,1,0.949075
-5.0,1,0.954643
-5.0,1,0.958966
-5.0,1,0.964445
-5.0,1,0.970526
-5.0,1,0.976243
-5.0,1,0.980623
-7.02,1,0.98668
-5.0,1,0.99304
-5.0,1,0.998522
-5.0,1,1.008518
-5.0,1,1.011935
-5.0,1,1.0189
-5.0,1,1.024913
-5.0,1,1.029233
-5.0,1,1.034108
-5.0,1,1.040332
-5.0,1,1.044518
-7.02,1,1.05048
-5.0,1,1.055705
-5.0,1,1.060932
-5.0,1,1.067715
-5.0,1,1.072793
-5.0,1,1.079179
-5.0,1,1.08707
-5.0,1,1.092778
-5.0,1,1.097165
-5.0,1,1.101791
-5.0,1,1.105531
-5.0,1,1.111755
-5.0,1,1.119538
-5.0,3,1.13527
-5.0,1,1.139372
-5.0,1,1.146973
-5.0,1,1.150931
-5.0,2,1.165099
-5.0,1,1.170137
-5.0,1,1.174269
-5.0,1,1.178725
-5.0,1,1.184739
-5.0,1,1.190496
-5.0,1,1.195889
-5.0,1,1.199873
-5.0,3,1.218084
-5.0,1,1.223536
-5.0,1,1.226996
-5.0,1,1.232982
-2.02,1,1.240633
-5.0,1,1.245019
-5.0,1,1.251717
-2.02,1,1.256016
-5.0,1,1.261014
-5.0,1,1.26694
-5.0,1,1.27095
-5.0,1,1.279698
-5.0,1,1.28431
-5.0,1,1.287992
-5.0,1,1.293972
-5.0,2,1.304723
-5.0,1,1.314544
-5.0,1,1.319378
-5.0,1,1.324286
-5.0,1,1.329289
-5.0,1,1.334175
-5.0,1,1.339673
-5.0,2,1.353382
-5.0,2,1.368675
-5.0,1,1.372634
-5.0,2,1.383765
-5.0,2,1.394448
-5.0,1,1.400037
-5.0,3,1.415703
-5.0,1,1.419824
-5.0,1,1.425208
-5.0,1,1.431732
-5.0,2,1.442349
-5.0,3,1.459349
-5.0,1,1.466137
-5.0,1,1.472146
-5.0,1,1.479413
-5.0,2,1.489354
-5.0,1,1.494262
-5.0,1,1.500514
-5.0,1,1.505352
-5.0,1,1.51176
-5.0,1,1.518236
-5.0,1,1.5231
-5.0,1,1.527581
-5.0,1,1.533437
-5.0,1,1.538566
-5.0,2,1.551451
-5.0,1,1.554443
-5.0,1,1.561516
-5.0,1,1.567301
-5.0,1,1.574126
-5.0,1,1.578786
-5.0,1,1.58483
-5.0,2,1.593533
-5.0,1,1.598096
-5.0,1,1.60567
-5.0,1,1.611007
-7.02,1,1.620813
-5.0,1,1.626828
-5.0,1,1.629816
-5.0,2,1.640272
-5.0,1,1.644696
-5.0,1,1.652605
-5.0,1,1.656388
-7.02,1,1.661916
-5.0,1,1.667717
-5.0,1,1.674005
-5.0,1,1.680483
-5.0,1,1.686174
-5.0,1,1.692729
-5.0,1,1.695889
-2.02,1,1.701297
-5.0,1,1.705908
-5.0,2,1.718567
-5.0,1,1.723807
-5.0,1,1.731356
-5.0,1,1.736998
-5.0,1,1.742687
-5.0,1,1.749047
-5.0,1,1.752987
-5.0,1,1.760244
-5.0,1,1.763699
-5.0,1,1.769428
-5.0,1,1.774615
-5.0,1,1.779958
-5.0,1,1.786335
-5.0,1,1.792726
-5.0,1,1.797843
-5.0,1,1.803203
-5.0,1,1.808335
-5.0,1,1.814876
-2.02,1,1.81777
-5.0,1,1.824955
-5.0,1,1.831132
-5.0,1,1.835087
-5.0,1,1.841704
-5.0,1,1.845654
-5.0,1,1.851512
-5.0,1,1.855776
-7.02,1,1.862562
-5.0,1,1.868547
-5.0,1,1.873347
-5.0,1,1.882034
-5.0,1,1.885823
-5.0,1,1.892792
-5.0,3,1.908788
-5.0,1,1.918738
-5.0,1,1.922906
-5.0,1,1.92903
-5.0,1,1.934146
-5.0,1,1.940506
-5.0,2,1.951494
-5.0,2,1.962222
-5.0,1,1.966935
-5.0,1,1.973836
-5.0,1,1.978194
-5.0,1,1.983604
-5.0,1,1.99006
-7.02,1,1.993508
-5.0,2,2.005008
-5.0,1,2.010335
-5.0,1,2.018841
-5.0,1,2.023934
-5.0,1,2.032082
-5.0,1,2.037154
-5.0,3,2.055703
-5.0,1,2.061606
-5.0,1,2.067207
-5.0,1,2.072283
-5.0,1,2.080012
-5.0,2,2.090438
-5.0,1,2.094584
-5.0,1,2.100786
-5.0,1,2.105901
-5.0,1,2.111948
-5.0,1,2.117876
-2.02,1,2.122767
-5.0,1,2.130674
-5.0,1,2.136878
-5.0,1,2.143528
-5.0,2,2.155467
-5.0,1,2.158107
-5.0,1,2.164797
-5.0,1,2.172213
-5.0,1,2.179054
-5.0,1,2.184722
-5.0,1,2.189366
-5.0,1,2.194309
-5.0,1,2.201175
-5.0,2,2.211971
-5.0,1,2.217067
-5.0,1,2.221316
-5.0,1,2.229602
-5.0,1,2.233507
-5.0,1,2.240929
-5.0,1,2.245404
-5.0,1,2.250308
-5.0,2,2.262343
-5.0,2,2.273162
-5.0,1,2.279373
-5.0,1,2.283863
-5.0,1,2.28888
-5.0,1,2.295996
-2.02,1,2.301621
-5.0,1,2.306788
-5.0,1,2.313102
-5.0,1,2.318983
-5.0,1,2.32402
-5.0,2,2.336341
-5.0,2,2.345287
-5.0,1,2.351296
-5.0,1,2.356671
-5.0,1,2.36238
-5.0,1,2.366201
-5.0,1,2.37113
-5.0,1,2.376146
